id,calories,proteins,fat,carbohydrate,name,image
309,437.5,0.0,6.25,87.5,Coffe Candy,https://images.openfoodfacts.org/images/products/899/600/132/1188/front_id.8.400.jpg
310,533.33,6.67,30.0,60.0,Dairy Milk Chocolate,https://images.openfoodfacts.org/images/products/955/618/202/3258/front_id.11.400.jpg
311,60.0,0.67,0.0,14.0,Gilus Mix Gula Aren,https://images.openfoodfacts.org/images/products/899/866/600/2730/front_en.8.400.jpg
312,462.0,64.1,17.9,64.1,Pediasure Vanilla,https://images.openfoodfacts.org/images/products/888/645/100/2860/front_en.6.400.jpg
313,110.0,1.0,7.0,11.0,Chitato Rasa Keju,https://images.openfoodfacts.org/images/products/008/968/659/8957/front_en.3.400.jpg
314,60.0,0.0,0.0,15.0,Hydro Coco,https://images.openfoodfacts.org/images/products/899/700/978/1110/front_en.17.400.jpg
315,20.0,0.0,0.0,4.89,Good mood lemon madu,https://images.openfoodfacts.org/images/products/899/277/570/9061/front_en.3.400.jpg
316,100.0,5.0,7.0,4.0,Kraft Quick Melt 165gr,https://images.openfoodfacts.org/images/products/762/230/027/0919/front_id.6.400.jpg
317,246.0,0.0,0.0,0.0,Cornetto unicorn,No Image Available
318,43.0,0.0,0.0,10.0,YOU C1000 Vitamin Apple,https://images.openfoodfacts.org/images/products/899/700/951/0130/front_en.3.400.jpg
319,90.0,1.0,3.5,13.0,Potato chips,No Image Available
320,571.0,8.57,37.1,51.4,Beng Beng Nuts Almonds,https://images.openfoodfacts.org/images/products/899/600/135/4063/front_id.3.400.jpg
321,350.0,10.0,1.5,75.0,Segitiga biru,https://images.openfoodfacts.org/images/products/899/329/620/5001/front_en.26.400.jpg
322,35.0,0.0,3.5,1.0,Santan kelapa,https://images.openfoodfacts.org/images/products/899/271/788/0186/front_fr.3.400.jpg
323,120.0,1.0,8.0,10.0,Colatta,https://images.openfoodfacts.org/images/products/899/299/326/0351/front_id.21.400.jpg
324,70.0,1.0,2.0,13.0,Del Monte,https://images.openfoodfacts.org/images/products/899/888/871/2196/front_id.15.400.jpg
325,90.0,0.0,9.0,2.0,Maestro,https://images.openfoodfacts.org/images/products/899/888/846/1117/front_id.12.400.jpg
326,200.0,8.0,1.0,40.0,La Fonte,https://images.openfoodfacts.org/images/products/888/890/040/0111/front_id.14.400.jpg
327,130.0,1.0,4.0,23.0,Kental Manis,https://images.openfoodfacts.org/images/products/899/275/310/1207/front_id.14.400.jpg
328,86.2,0.0,0.0,17.2,Saori Saus Tiram,https://images.openfoodfacts.org/images/products/899/277/009/6135/front_id.18.400.jpg
329,80.0,0.0,9.0,0.0,Sania,https://images.openfoodfacts.org/images/products/899/349/600/1076/front_id.10.400.jpg
330,810.0,0.0,90.0,0.0,Bimoli,https://images.openfoodfacts.org/images/products/899/262/802/0152/front_id.8.400.jpg
331,350.0,9.0,1.0,77.0,Bogasari Kunci Biru,https://images.openfoodfacts.org/images/products/899/329/630/1116/front_id.15.400.jpg
332,70.0,1.0,0.0,16.0,Haan Pancake Mix,https://images.openfoodfacts.org/images/products/899/299/352/3791/front_id.15.400.jpg
333,130.0,3.0,2.0,24.0,Simba Choco Chips,https://images.openfoodfacts.org/images/products/899/317/200/0355/front_id.16.400.jpg
334,50.0,1.0,2.0,7.0,Nabati Richeese Black,https://images.openfoodfacts.org/images/products/899/317/554/7635/front_id.14.400.jpg
335,40.0,0.0,1.5,7.0,nextar nabati strawbery,https://images.openfoodfacts.org/images/products/899/317/554/8335/front_en.11.400.jpg
336,45.0,0.0,1.5,8.0,French Freis 2000 62gr,https://images.openfoodfacts.org/images/products/888/601/322/3207/front_id.12.400.jpg
337,130.0,5.0,11.0,2.0,Kuaci Biji Bunga Matahari,https://images.openfoodfacts.org/images/products/899/700/205/1494/front_en.4.400.jpg
338,600.0,5.0,35.0,60.0,Ceres,No Image Available
339,280.0,5.0,17.0,26.0,Croissant creamy peanut butter,https://images.openfoodfacts.org/images/products/899/720/467/0325/front_fr.3.400.jpg
340,454.55,9.09,18.18,72.73,Multigrain Chips,No Image Available
341,24.0,0.0,0.0,6.0,POKKA Green Tea,https://images.openfoodfacts.org/images/products/899/498/500/0006/front_en.3.400.jpg
342,160.0,3.0,6.0,24.0,Brown Sugar Milk,https://images.openfoodfacts.org/images/products/899/721/838/0159/front_fr.3.400.jpg
343,500.0,0.0,25.0,62.5,Chocolate Crunchy Caramel,No Image Available
344,592.0,12.5,42.9,39.0,Tikha,No Image Available
345,271.43,4.29,15.71,28.57,Small Bhakarwadi,https://images.openfoodfacts.org/images/products/890/407/170/1090/front_en.4.400.jpg
346,30.0,1.0,1.0,3.0,Bumbu Bali,No Image Available
347,10.0,2.0,6.0,22.0,Chocolate Springkles,No Image Available
348,140.0,0.0,5.0,3.0,Gabin super,https://images.openfoodfacts.org/images/products/899/991/818/2095/front_id.3.400.jpg
349,567.0,6.67,16.7,53.3,Genji Soft Pie Chocolate,No Image Available
350,370.0,22.0,6.6,58.0,Kiranti,No Image Available
351,60.0,0.0,0.0,15.0,Ion Supply Drink 900ml,https://images.openfoodfacts.org/images/products/899/703/560/0546/front_id.20.400.jpg
352,70.0,0.0,0.0,17.0,Jahe Wangi,https://images.openfoodfacts.org/images/products/899/337/110/0115/front_en.15.400.jpg
353,450.0,10.0,20.0,70.0,Dark Chocolate Cookies,https://images.openfoodfacts.org/images/products/899/702/641/1380/front_id.10.400.jpg
354,2.0,0.0,0.0,1.0,FISHERMAN'S FRIEND CHOCO MENTHOL,https://images.openfoodfacts.org/images/products/000/009/618/9016/front_fr.3.400.jpg
355,190.0,4.5,7.0,12.0,Greenfield chocomalt milk,No Image Available
356,154.0,4.4,2.1,28.0,Nouille Mie goreng,No Image Available
