calories,proteins,fat,carbohydrate
252.0,19.9,19.1,0.0
150.0,1.67,4.17,25.0
591.0,5.6,42.1,47.5
424.0,1.3,10.7,80.7
37.0,0.8,0.1,12.3
39.0,0.7,0.2,9.7
0.0,10.0,17.5,75.0
130.0,1.0,4.0,23.0
241.0,16.0,25.0,0.0
303.0,11.3,27.0,3.7
159.0,3.1,5.8,23.5
156.0,2.7,1.3,33.3
163.0,2.2,6.5,23.8
169.23,0.0,7.69,0.0
295.0,37.4,14.7,0.6
248.0,10.0,2.3,40.9
364.0,4.5,1.0,83.5
385.0,7.0,1.0,87.0
25.0,2.1,0.1,5.3
45.0,1.1,0.4,10.8
393.0,38.9,13.3,29.4
332.0,5.7,0.6,76.1
425.0,10.0,15.0,65.0
43.0,1.8,0.2,8.4
365.0,49.6,4.8,30.8
376.0,14.9,6.0,65.7
240.0,4.0,10.0,34.0
358.0,7.5,4.3,70.4
353.0,2.4,1.1,83.4
51.0,4.6,0.5,10.0
25.0,1.6,0.2,5.3
131.0,31.5,0.77,0.0
127.0,8.5,9.0,3.0
86.0,10.2,1.1,8.7
17.0,0.2,0.1,3.8
34.0,3.7,1.2,4.3
88.0,0.6,3.3,14.0
86.0,1.6,0.2,13.0
27.0,2.0,0.2,4.2
240.0,4.0,12.0,28.0
76.0,1.8,4.7,6.8
272.0,8.7,6.7,44.1
35.0,5.0,0.2,5.8
104.0,1.2,0.5,23.7
111.0,1.5,0.3,27.2
100.0,2.0,1.0,20.0
74.0,6.3,0.7,10.7
423.0,2.0,1.0,99.0
26.0,0.7,0.3,5.2
268.0,23.9,12.7,14.5
83.0,19.1,0.2,0.0
120.0,4.7,2.4,19.9
124.0,9.5,9.6,0.0
14.0,1.3,0.3,2.3
115.0,1.8,1.8,11.2
497.0,17.0,27.6,50.8
100.0,2.0,5.0,12.0
140.0,4.7,1.3,33.1
83.0,1.5,0.2,18.8
198.0,24.6,10.7,0.9
22.0,0.4,0.2,4.7
400.0,62.5,6.25,25.0
347.0,0.9,0.3,85.2
333.0,29.3,3.3,50.0
